label   x   y   d
A       0   0   4.4
B       0   2   5.2
C       0   4   6.0
D       0   6   6.0
E       0   8   6.0
F       0   10  4.1
G       0   12  3.2
H       0   14  3.1
I       0   15  2.9
J       0   17  5.8
K       0   19  5.8
L       0   21  5.7
M       0   24  1.9
N       0   22  5.5
O       3   24  3.3
P       3   21  5.1
Q       3   18  5.8
R       3   15  5.5
S       3   12  3.0
T       3   9   3.1
U       3   6   6.0
V       3   3   4.6
W       3   0   4.9
X       6   0   4.8
Y       6   3   4.3
Z       6   6   4.1
AA      6   9   3.2
AB      6   12  3.0
AC      6   15  5.8
AD      6   18  5.9
AE      6   21  4.9
AF      6   24  3.2
AG      9   24  5.7
AH      9   21  6.1
AI      9   18  6.1
AJ      9   15  6.1
AK      9   12  3.3
AL      9   9   3.5
AM      9   6   5.5
AN      9   3   4.2
AO      9   0   4.8
AP      12  0   4.8
AQ      12  3   4.2
AR      12  6   4.0
AS      12  9   4.2
AT      12  12  6.1
AU      12  15  6.2
AV      12  18  6.2
AW      12  21  6.2
AX      12  24  6.1
AY      14  24  6.0
AZ      14  21  6.2
BA      14  18  6.2
BB      14  15  6.2
BC      14  12  6.1
BD      14  9   6.0
BE      14  6   6.1
BF      14  3   4.4
BG      14  0   4.7
